Course Code,Department Name,Course Description,Course Catalog Description,Credits and Level,Special Program Description
H13021,Mathematics,Elements Of Geometry,"This course continues the sequence begun with Algebra I Plus. It includes the same topics as the Geometry course; however, there is less emphasis on formal proof here, and more emphasis on algebraic solutions to geometric problems. 

Summer Assignment:
A summer assignment, required for this course, will be posted on the high school website. The purpose of the assignment is to practice skills over the summer to ensure a good start to the school year. Answers for the assignments will be provided, work will be checked, and the content will be quizzed.  Approximate Time: 1-2 hours for completion","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Algebra 1 >=65 or Algebra 1 Plus >=65
Course Highlights:
Basic Geometry
Angle Relationships
Coordinate Geometry
Properties of Triangles
Quadrilaterals
Transformations
Right Triangles and Trigonometry"
H13022,Mathematics,Geometry,"This course is designed to help students develop an understanding of geometric concepts, and an ability to apply them in a variety of situations. Students will use models, computer programs, and other visual aids to develop spatial visualization, to solve problems involving algebraic skills, to use reasoning and critical thinking to reach conclusions in both mathematical and non-mathematical situations, and to explain concepts using clear and precise language. 

Summer Assignment:
A summer assignment, required for this course, will be posted on the high school website. The purpose of the assignment is to practice skills over the summer to ensure a good start to the school year. Answers for the assignments will be provided, work will be checked, and the content will be quizzed.  Approximate Time: 1-2 hours for completion","Credits: 5.0
Grade Levels: 09:10:11:12:","Prerequisites: Algebra 1 >=73 or Algebra 1 Plus >=93
Course Highlights:
Basic Geometry
Reasoning and Parallels
Transformations
Triangles and Congruence
Special Segments and Triangles
Similarity
Right Triangles and Trigonometry
Circles
Quadrilaterals
Regular Polygons and Modeling in 3D"
H13002,Mathematics,Honors Algebra II,"This course is designed to prepare students for Advanced Placement Math courses. The course offers a more rigorous coverage of all topics in Advanced Algebra II. In addition, an in-depth study of Sequences and Series, Right Triangular Trigonometry, Circular Trigonometry, and Exponential Functions is integral to this course. This course is fast-paced and challenging. A strong Algebra I and Geometry background is essential. Students who have taken Algebra I and/or Geometry outside of high school must have demonstrated a superior understanding of these core courses in order to expect to be successful in this course.

Summer Assignment
A summer assignment, required for this course, will be posted on the high school website. The purpose of the assignment is to review and practice skills over the summer.  The assignment will be graded for completion and tested.  Approximate Time: 7-8 hours for completion","Credits: 5.0
Grade Levels: 09:10:11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: Adv Geometry >=93
Course Highlights:
Fundamental concepts of Algebra
Equations and inequalities
Functions and Graphs
Polynomials and rational Functions
Exponential and Logarithmic Functions
The Trigonometric Functions
Analytic Trigonometry
Applications of trigonometry
Statistics
Sequences and series"
H13033,Mathematics,Honors Pre-AP Calculus,"This course is designed to prepare students for Advanced Placement Calculus. The emphasis of the course is placed on topics such as functions, analytic trigonometry, and sequences and series. Topics will be approached algebraically and graphically. The fourth quarter is an introduction to Calculus, studying limits and derivatives. The course workload is rigorous and students should expect to have a significant amount of work outside of the classroom. 

Summer Assignment:
A summer assignment, required for this course, will be posted on the high school website. The purpose of the assignment is to practice skills over the summer to ensure a good start to the school year. Answers for the assignments will be provided, work will be checked, and the content will be quizzed. A T1-89 graphing calculator is recommended. Approximate Time: 3-6 hours for completion","Credits: 5.0
Grade Levels: 09:10:11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: Advanced Algebra 2 >=93 or Honors Algebra 2 >=80
Course Highlights:
Unit Circle
Graphing Trigonometric Functions
Trigonometric Equations and Identities
Laws of Sine and Cosine
Analyzing Graphs of Functions
Matrices
Sequences and Series
Conics
Polar Coordinates & Parametric Equations
Limits and Derivatives"
H13049,Mathematics,Introduction To Statistics,"This introductory statistics course is a senior-level elective that focuses on statistics through critical thinking and applications. The topics include surveys, distributions, hypothesis testing, confidence intervals, and probability. TI-84 graphing calculators will be used extensively and are required. Assessments will include tests, quizzes, projects, and papers.","Credits: 5.0
Grade Levels: 11:12:","Prerequisites: Precalculus >=65 or Adv PreCalculus >=65 or College Algebra >=73
Course Highlights:
Types of Studies
Sampling Methods
Displaying Data
Normal Distribution
Probability 
Hypothesis Testing
Experiments"
H13060,Mathematics,Multivariable Calculus & Linear Algebra,"This course, based on a college-level course, will benefit any student who wants to study mathematics beyond calculus. The course will cover the theory (including proofs) and applications of Multivariable Calculus and Linear Algebra with an emphasis on developing functional knowledge of the subject. Topics will include three-dimensional analytic geometry, partial derivatives, multiple integrals, and vector calculus, line integrals, systems of linear equations, matrices, determinants, vector spaces, linear transformations, eigenvalues, and eigenvectors. Students requesting this course must have a strong commitment to learning and excellent independent study skills.

Summer Assignment: 
A summer assignment is required for this course and will be posted on the high school website.
Approximate Time: 12-15 hours","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: AP Calculus BC >=80 or AP Calculus AB  >=93 & a 5 on the BC exam
Course Highlights:
Infinite Sequences and Series
Parametric Equations and Polar Coordinates
Vector Geometry/Calculus
Derivatives in Several Variables
Multiple Integration
Systems of Equations
Matrices
Eigenvalues/
Eigenvectors
Vector Spaces"
H13050,Mathematics,Pre-Calculus,"This course is designed for the math student completing an Algebra II course. This course focuses on pre-calculus concepts including a review of essential Algebra II topics as well as a strong emphasis on Trigonometry, including identities and graphs.  It will assist the student in the continuation of high school mathematics and introductory college courses. Other topics covered will include probability, sequences and series, and exponential and logarithmic functions.
Juniors completing this course generally move into Introduction to Statistics in their senior year. This course is not designed for sophomores, as courses that follow this course are designed for 1 year only.

Summer Assignment:
A summer assignment, required for this course, will be posted on the high school website. The purpose of the assignment is to practice skills over the summer to ensure a good start to the school year. Answers for the assignments will be provided, work will be checked, and the content will be quizzed.
Approximate Time: 1-2 hours for completion","Credits: 5.0
Grade Levels: 10:11:12:","Prerequisites: Algebra 2 >=83 Adv Algebra 2 >=65
Course Highlights:
Families of graphs
Unit circle & Trigonometry
Graphing trigonometric functions 
Trigonometric identities and equations
Logarithms
Sequence and series
Introduction to Calculus
Matrices"
H17352,Music,AP Music Theory,"This is an advanced college-level course, which follows the curriculum established by the College Board. This is a very intense program that requires advanced-level skills in music theory. Students enrolled in this course will be well prepared for and encouraged to take the advanced placement examination.

IMPORTANT:  Students enrolling in Advanced Placement Courses must have their parent or guardian complete the Advanced Placement Request form in Genesis.  Refer to the Guidelines for Scheduling
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0",Prerequisites: Grade of 85% in Music Theory & Analysis and recommendation of the teacher
H17400,Music,Chamber Orchestra,"This is a collegiate/professional-level performance course. Chamber Orchestra is tailored for advanced orchestral string players in grades 10-12 and sets the standard for musical excellence at SBHS. This course provides a high-level musical experience through advanced repertoire and performance. 

Students enrolled in this course experience unparalleled musical standards, fostering a culture of individual excellence and collaborative music-making within an ensemble setting. This ensemble performs in Winter and Spring Concerts, convocations, graduations, and esteemed adjudicated festivals across the state. Commitment to consistent and devoted individual practice outside of rehearsal hours is essential, ensuring the ensemble's continued success.

Participation and performances in concerts and scheduled events are required.","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0",Prerequisites: Audition and recommendation of music teacher.> Audition and recommendation of music teacher.
H17356,Music,Concert Band,"Concert Band is a course for students proficient in band instruments. The course is an immersive exploration of various musical forms, styles, and composer works, fostering collaborative music making in an ensemble setting. The course aims to enhance students' musical abilities encompassing stylistic nuances, technical proficiency, basic music theory, and introductory analytical skills. 

Additionally, membership in the SBHS Viking Marching Band is available to all participants.

Attendance and participation in concerts are required, providing opportunities for students to demonstrate their musical development through engaging ensemble performances.

*Students who plan to play an instrument and sing in choir will need to select 'Mixed Chorus in the 21st Century' as their 21st Century Skills Course. This allows students to take both an instrumental and choral/theater class during their Freshman Year","Credits: 5.0
Grade Levels: 09:10:11:12:",No Prerequisites
H17347,Music,Concert Choir,"This is a collegiate/professional-level performance course. Singers demonstrate and develop vocal excellence, technique, advanced musicianship skills, advanced literacy/sight-reading, and professionalism. Singers perform extensive and complex repertoire. In addition to performing for the winter and spring concerts, the Concert Choir will perform for various school and community functions, as well as participate in adjudicated festivals/competitions. Field trips to musical theaters, professional concerts, and workshops are arranged throughout the year where applicable.

Participation in rehearsals and performance in concerts is required. Audition required","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0",Prerequisites: Audition and recommendation of music teacher
H17353,Music,Concert Orchestra,"Concert Orchestra is a class designed for string students with skill on string instruments (violin, viola, cello, bass, and harp). 

The course is an immersive exploration of various musical forms, styles, and composer works, fostering collaborative music making in an ensemble setting. The course aims to enhance students' musical abilities encompassing stylistic nuances, technical proficiency, basic music theory, and introductory analytical skills. 

Attendance and participation in concerts are required, providing opportunities for students to demonstrate their musical development through engaging ensemble performances.

*Students who plan to play an instrument and sing in choir will need to select 'Mixed Chorus in the 21st Century' as their 21st Century Skills Course. This allows students to take both an instrumental and choral/theater class during their Freshman Year.","Credits: 5.0
Grade Levels: 09:10:11:12:",No Prerequisites
H17364,Music,Costume and Character Design,"This dynamic course is designed for students passionate about theatrical costume and makeup design. Throughout the program, students will develop a versatile portfolio of audition-ready scenes and live performance materials while gaining hands-on experience in costume and prop creation. The curriculum covers a wide range of topics, including analyzing plays and screenplays, designing and crafting wearable costumes, and mastering the essentials of costume care and maintenance. Students will also explore stage and screen makeup techniques, comparing their unique applications and drawing inspiration from historical time periods and theatrical genres. Additionally, they will gain real-world experience by contributing to the organization and maintenance of a school costume inventory, equipping them with practical skills valuable for future careers in costume and makeup design.","Credits: 5.0
Grade Levels: 09:10:11:12:",No Prerequisites
H17345,Music,Honors Chorale,"Honors Chorale is an upper choral ensemble for students who exemplify honored music skill, are interested in advanced vocal music, and want to rehearse in a more rigorous setting. The principles from Mixed Chorus are further developed (vocal technique, tonal production, diction, phrasing music theory, music literacy, etc). This is a performance course and is graded as such. 

In addition to performing for the Winter and Spring Concerts, Honors Chorale may also perform various school and community functions. Field trips to theaters, professional concerts, and workshops are arranged throughout the year where applicable.

Participation in rehearsals and performances in concerts is required. Recommendation/screening from director is required.","Credits: 5.0
Grade Levels: 09:10:11:12:
Additional GPA Weight: Honors 0.5",Prerequisites: Audition and recommendation of music teacher
H17412,Music,Honors Percussion Ensemble,"Honors Percussion Ensemble is a course designed for instrumental students with advanced skill in a wide variety of classical percussion instruments. Primary areas of performance study will include battery, mallet, and auxiliary percussion with secondary units based on class interest and literature requirements (e.g. Drumset, World Percussion, etc.) Students will develop their musical abilities in performance, technique, elementary theory, and simple analyses. Students will rehearse and perform outstanding percussion literature for solo and small ensembles. Music will be chosen that not only enhances and develops technical ability but also develops aesthetic awareness. Students will be required to attend extra rehearsals prior to concerts in addition to their own daily practice.

Participation and performance in concerts are required.","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: Honors 0.5",Prerequisites: Music Teacher Recommendation
H17343,Music,Honors String Orchestra,"Honors String Orchestra is an advanced-level course tailored for string instrumentalists, including violin, viola, cello, bass, and harp players. 

This is a performance course that delves deeply into an extensive repertoire of musical forms, diverse styles, and renowned composer works, fostering a collaborative approach to ensemble music-making.

Attendance and active participation in concerts are not only expected but are integral components of the learning experience. The Orchestra will perform in the Winter and Spring Concerts as performances serve as opportunities for students to showcase their advanced musical development","Credits: 5.0
Grade Levels: 09:10:11:12:
Additional GPA Weight: Honors 0.5",Prerequisites: Audition and recommendation of music teacher
H17406,Music,Honors Symphonic Winds,"Honors Symphonic Winds is a course for instrumental students in grades 9-12 showcasing advancing proficiency on band instruments. 

This is a performance course that delves into demanding band literature, offering an immersive experience in advanced musical concepts. 

Participants will cultivate sophisticated performing skills, engaging in extra pre-concert rehearsals alongside their daily individual practice routines.

Participation and performance in concerts are required","Credits: 5.0
Grade Levels: 09:10:11:12:
Additional GPA Weight: Honors 0.5",Prerequisites: Audition and recommendation of music teacher
H17349,Music,Mixed Chorus,"Mixed Chorus is a class open to all students who are interested in choral vocal music. The principles of tonal production, diction, phrasing, and basic music theory will be taught. Sight-reading and music literacy will be taught and developed. 

This is a performance course and is graded as such. In addition to performing for the Winter and Spring Concerts, the chorus may also perform extra school and community functions. Field trips to theaters, professional concerts, and workshops are arranged throughout the year where applicable.

Participation in additional rehearsals and performances in concerts is required.

*Students who plan to play an instrument and sing in choir will need to select 'Mixed Chorus in the 21st Century' as their 21st Century Skills Course. This allows students to take both an instrumental and choral/theater class during their Freshman Year.","Credits: 5.0
Grade Levels: 09:10:11:12:",No Prerequisites
H17410,Music,Mixed Chorus in the 21st Century,"This course is open to all students who are interested in vocal music. It will allow choral students the opportunity to continue to study formally while enhancing their learning by infusing the 21st-century skills curriculum. The principles of tonal production, diction, phrasing, and basic music theory will be taught. Sight-reading will be taught and developed.

Participation in rehearsals and performances in concerts is required","Credits: 5.0
Grade Levels: 09:10:11:12:",No Prerequisites
H17350,Music,Music Theory and Analysis,"This course explores the theoretical aspects of music including notation, harmony, style, and composition. Students will compose music for four voices and small ensembles in Level I, as well as develop knowledge of the keyboard for composition purposesThis course explores the theoretical aspects of music including notation, harmony, style, and composition. Students will compose music for four voices and small ensembles in Level I, as well as develop knowledge of the keyboard for composition purposes","Credits: 5.0
Grade Levels: 10:11:12:",No Prerequisites
H17413,Music,Percussion Ensemble,"Percussion Ensemble is a course designed for instrumental students in grades 9-12 with beginning to advanced skill in a wide variety of classical percussion instruments. Primary areas of performance study will include battery, mallet, and auxiliary percussion with secondary units based on class interest and literature requirements (e.g. Drumset, World Percussion, etc.) Students will develop their musical abilities in performance, technique, elementary theory, and simple analyses. Students will rehearse and perform outstanding percussion literature for solo and small ensembles. Music will be chosen that not only enhances and develops technical ability but also develops aesthetic awareness. 

Students will be required to attend extra rehearsals prior to concerts in addition to their own daily practice. Participation and performance in concerts is required.","Credits: 5.0
Grade Levels: 09:",No Prerequisites
H17368,Music,Technical Theatre,"This course is designed for students interested in theater. Technical Theatre is designed to be an introductory course that covers all aspects of theatrical production except acting in three units: Theatre and the Theatre Company, The Look of the Show, and different jobs necessary for a production to run. In this course, students will focus on What is theatre? Who makes theatre? How is theater created? How does a production team function? This course is a practical study of theatre production centered around course projects.","Credits: 5.0
Grade Levels: 09:10:11:12:","No Prerequisites
Course Highlights:
Do Now's
Daily Participation
Quizzes about 2-3 per quarter
Emphasis on foundational skills in acting and creating a character.
Monologue and small scene/group concentration work
Self-reflections after each project
Group presentations/ group work
Final Exam"
H17358,Music,Theatre Arts I,"This course is designed for students interested in theater. All basics of theatrical production will be studied; acting, set design and construction, lighting, directing, and producing. Students will be active in each of these areas. Each student will develop a repertoire of scenes suitable for audition or performance. This class will work with the Theatre II's and help produce an evening of student-directed one-acts in which students are responsible for all phases of production. Field trips to professional/community theaters and guest speakers and workshops will be arranged where applicable.","Credits: 5.0
Grade Levels: 09:10:11:12:","No Prerequisites
Course Highlights:
Do Now's
Daily Participation
Quizzes about 2-3 per quarter
Emphasis on foundational skills in acting and creating a character.
Monologue and small scene/group concentration work
Self-reflections after each project
Group presentations/ group work
Final Exam"
H17367,Music,Theatre Arts I in the 21st Century,"This course is designed for students interested in theater. All basics of theatrical acting will be studied.  Each student will develop a repertoire of scenes suitable for audition or performance. 

There will be opportunities for students to become the director and producer for their own monologues, partner scenes, and group scenes. Field trips to professional/community theaters and guest speakers and workshops will be arranged where applicable.","Credits: 5.0
Grade Levels: 09:","No Prerequisites
Course Highlights:
Do Now's
Daily Participation
Quizzes about 2-3 per quarter
Emphasis on foundational skills in acting and creating a character.
Monologue and small scene/group concentration work
Self-reflections after each project
Group presentations/ group work
Final Exam"
H17355,Music,Theatre Arts II,"This course is designed for students interested in theater. All aspects of theatrical acting and production will be studied including acting, and basic aspects set design and construction, lighting, directing, and producing when involved in their own monologues, scenes, and one act performances. Students will be active in each of these areas. Each student will develop a repertoire of scenes suitable for audition or performance. Students will also receive workshops in various acting elements such as Film/TV, audition preparation, Acting through Song, and so on. Theatre Arts Workshop II will produce an evening of student-directed one-acts in which students are responsible for all phases of production. Theatre Arts Workshop III will also be assisting in an evening of one acts. Field trips to professional/community theaters, as well as guest speakers and workshops, will be arranged where applicable","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: Successful completion of Theatre Arts I in the 21st Century with a grade of 83% or better
Course Highlights:
Do Now's
Daily Participation
Quizzes
Emphasis on production skills to create a One Act play production
Self-reflections after each project
Group presentations/group work
Final Exam"
H17357,Music,Theatre Arts III,"Theatre Arts Workshop III will continue the growth of the individual student's performance skills. Concentration in a field of interest will be stressed for each individual (i.e. acting, directing, etc.). Students will also receive workshops in various acting elements such as Film/TV, audition preparation, Acting through Song, and so on. Theatre Arts Workshop III will produce a Children's Play. This play will be performed at our evening of student-directed one-acts in which students are responsible for all phases of production. Theatre Arts Workshop III will also be assisting in an evening of one acts with our Theatre Arts Workshop II class.  Field trips to professional/community theaters, as well as guest speakers and workshops, will be arranged where applicable. Work outside of the classroom on theatrical productions will be required","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: Successful completion of Theatre Arts II with a grade of 83% or better
Course Highlights:
Do Now's
Daily Participation
Quizzes about 2-3 per quarter
Emphasis on production skills to create a Children's Play Production
Self-reflections after each project
Group presentations/group work
Final Exam"
H17377,Music,Theatre Arts IV,"This course is designed for serious theater students. Preparation of monologues for college and outside auditions will be offered, as well as larger-scale directing opportunities and basic Film/TV acting monologues and scenes. Students will also receive workshops in various acting elements such as Film/TV, audition preparation, Acting through Song, and so on. Students will prepare advanced stage work for presentation in the form of an interactive dessert murdery mystery. Field Trips to professional/community theaters, as well as guest speakers and workshops, will be arranged where applicable.","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: Honors 0.5","Prerequisites: Theatre Arts Workshop II and III
Course Highlights:
Do Now's
Daily Participation
Quizzes about 2-3 per quarter
Emphasis on production skills to create a Murder Mystery play.
Prepare for college and outside auditions
Self-reflections after each project
Group presentations/group work
Final Exam"
H17359,Music,Wind Ensemble,"This is a collegiate/professional-level performance course. Wind Ensemble, equivalent to an advanced placement class, welcomes students in grades 10-12. 

This course signifies the pinnacle of musical excellence at SBHS, embodying unparalleled standards and requiring a commitment to individual excellence.

Members of this elite ensemble diligently prepare for significant events, such as Winter and Spring Concerts, convocations, graduations, and acclaimed adjudicated festivals statewide. 

Consistent and devoted individual practice outside of rehearsal hours is crucial, ensuring the ensemble's sustained success and upholding its exceptional reputation.","Credits: 5.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0",Prerequisites: Audition and recommendation of music teacher
H18010,Physical Education / Health,Adolescent Issues,"The Adolescent Issues curriculum consists of three components: Mental Health, Substance Abuse (use and misuse), and Human Sexuality. Students learn to make responsible decisions for their health by using cognitive, affective, and skill based techniques. As a result, students recognize the body of knowledge pertaining to health, personal experience, and personal growth in the development of a positive self-concept. Furthermore, students will gain skills in executing personal decisions about health-related life choices. Discussion of abstinence, contraception, pregnancy, relationships and date rape are included in this course.","Credits: 1.25
Grade Levels: 09:",No Prerequisites
H18030,Physical Education / Health,Adult Issues,"This 11th-grade program is required for all 11th-grade students. This course is one marking period. Course content includes the following units: nutrition, body image, emotional health, eating disorders, relationships, sexuality and infectious diseases.","Credits: 1.25
Grade Levels: 11:",No Prerequisites
H18020,Physical Education / Health,Driver Education,"This 10th-grade program consists of classroom driver education. This course is one marking period. Passing this course is a graduation requirement. This course meets the state's requirement of 30 hours of classroom driver education training. The objectives of this course are to educate the students on the basic Division of Motor Vehicle Laws,
driving techniques and safety practices as stated in the New Jersey state drivers' manual.

Students that meet and pass the course are eligible to take the state written exam.","Credits: 1.25
Grade Levels: 10:",No Prerequisites
H18002,Physical Education / Health,Hi-Tops,"Students are expected to be in good academic standing, including grades, discipline records, attendance, and tardiness. 
The HiTops program trains selected seniors as Peer Educators in topics such as pregnancy Prevention, Sexually Transmitted Infections, HIV/AIDS Awareness, Homophobia Reduction, Date Rape/Violence Prevention. HiTops Educators present workshops to 9th, 10th, and 11th-grade health classes.

HiTops is part of TEEN Pep, a nationally recognized program sponsored by the State Department of Health and Senior Services, Princeton Center for Leadership Training and HiTops Health Clinic.

This course takes the place of regular Physical Education/Health class.","Credits: 5.0
Grade Levels:","Prerequisites: Students must complete a rigorous application process that includes written essays. They must also take part in group interviews. Students are selected based on written applications, interviews, as well as qualities such as reliability, leadership skills, work ethic, and integrity"
H18001,Physical Education / Health,Peer Leadership,"Students are expected to be in good academic standing, including grades, discipline records, attendance and tardiness. 

The PEER program trains selected seniors in Project Adventure and group and facilitative skills. The PEER leaders are assigned in pairs to groups of 10-12 freshmen. During the first and fourth marking period, the seniors lead the freshman PEER groups in team building activities. During the second and third marking periods, they facilitate discussions on Health related topics.

This course takes the place of a regular Physical Education class.","Credits: 5.0
Grade Levels: 12:","Prerequisites: Students must complete a rigorous application process that includes written essays. They must also take part in group interviews. Students are selected based on written applications, interviews, as well as qualities such as reliability, leadership skills, work ethic, and integrity."
H18021,Physical Education / Health,Physical Education 10,"This course is required for all 10th-grade students. The Physical Education calendar consists of three marking period units. The Physical Education Program is completely co-education. 10th-grade students will be assigned to activities which are designed to increase self-esteem, team building skills, a variety of sports activities and improve fitness levels including Fitnessgram activities
and assessments.","Credits: 3.75
Grade Levels: 10:",No Prerequisites
H18031,Physical Education / Health,Physical Education 11,"This course is required for all 11th-grade students. It is a co-educational program in which students can take electives that include lifetime activities, fitness, and team and individual sports. This course consists of three marking period units","Credits: 3.75
Grade Levels: 11:",No Prerequisites
H18041,Physical Education / Health,Physical Education 12,"This course is required for all 12th-grade students. It is a co-educational program in which students can take electives that include lifetime activities, fitness, and team and individual sports. This course consists of three marking period units.

All seniors will take a 5 class rotation of CPR during the 2nd quarter","Credits: 3.75
Grade Levels: 12:",No Prerequisites
H18011,Physical Education / Health,Physical Education 9,"This course is required for all 9th-grade students. The Physical Education program is completely co-educational. The Physical Education calendar consists of three marking period units. Ninth-grade students will be assigned to activities which are designed to increase self-esteem, team building skills, a variety of sports activities, and improve fitness levels including Fitnessgram activities and assessments.

The ninth-grade students will also be involved in Project Adventure
(a challenge-by-choice curriculum) through Peer Leadership","Credits: 3.75
Grade Levels: 09:",No Prerequisites
H18040,Physical Education / Health,Senior Health,"This course is required for all 12th-grade students and is one marking period. The Senior Health curriculum covers a variety of topics that will prepare students for now and the next stages of life following high school graduation.  Students will take part in group discussions, research and inquiry bursts, media analysis, projects and written assignments.  The three major units of study will be Mental health, Prescription drug use/misuse/abuse and illicit drug and alcohol trends, and Relationships, issues of consent, harassment and sexual assault.","Credits: 1.25
Grade Levels: 12:",No Prerequisites
H14042,Science,AP Biology,"Advanced Placement Biology is a rigorous and demanding college-level course. It is designed for students with an interest in science, biology, medicine or a related field. Advanced Placement Biology is laboratory-oriented, with an extraordinary amount of home study required. This course prepares students for the Advanced Placement Examination.
Advanced Placement Biology stresses college-level academics on a wide range of subject matter such as cell physiology, biochemistry, metabolism, respiration, photosynthesis, genetics, and animal anatomy and physiology. While students in Advanced Placement Biology study many of the topics of Biology I, they proceed with greater independence of thought and develop a great deal more insight into the realm of biology by engaging in a more rigid, more sophisticated approach to the topic under study. The overall instructional strategy approach is that of a first-year college biology course with a strong emphasis on labs. Labs have a ""Design your Own"" component that is emphasized in the college board curriculum. The curriculum is aligned with the topics required by the College Board for the Advanced Placement Biology Exam. This course uses texts that are used in Colleges and Universities. The student grades are based upon a sophisticated summer assignment, tests, homework, laboratory reports and student-driven analysis and application of the concepts taught.

Summer Assignment
1) Read chapters from textbook. 2) Complete online assignment on those chapters. 3) Read a science related novel and answer questions. Expectations: Quiz upon returning to school. Approximate Time: 12 hours.
Advanced Placement (AP)Learn all about the course and exam","Credits: 10.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: 
87% in Biology I or 83% in Honors Biology or 85% in AdvBio
And
87% in Chemistry I-T or 83% in Honors Chemistry or 85% AdvChem
And
87% in Algebra II or 80% in Adv. Algebra II, 77% in Hon. Algebra II
and
90% in (87% in Honors) 10th or 11th Academic English
Course Highlights:
Chemistry of Life
Cell Structure and Function
Cellular Energetics
Cell Communication and Cell Cycle
Heredity
Gene Expression and Regulation
Natural Selection 
Ecology"
H14041,Science,AP Chemistry,"Advanced Placement Chemistry is a rigorous and demanding college-level course. It is designed for students with an interest in science, medicine, engineering or a related field. Advanced Placement Chemistry is laboratory-oriented, with a substantial amount of home study required. This course prepares students for the Advanced Placement Examination.
Students are expected to complete a summer assignment given by the teacher.
Advanced Placement Chemistry is developed within a framework of concepts such as the chemical bond, the structure of matter, matter-energy relationships, the mole concept, equilibrium, chemical notation, periodicity, and aspects of organic and nuclear chemistry. While students in Advanced Placement Chemistry study many of the topics of Chemistry I, they proceed with greater independence of thought and develop a great deal more insight into the realm of chemistry by engaging in a more rigid, more sophisticated approach to the topic under study. The overall instructional strategy approach is that of a first-year college chemistry course with lab. Students grades are based on tests, homework, lab reports, and clear communication of their understanding of the concepts taught. The student requesting A.P. Chemistry must possess a thorough working knowledge of algebraic principles.
Advanced Placement (AP)Learn all about the course and exam","Credits: 10.0
Grade Levels: 10:11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: 87% in (83% in Honors, 85% Adv) Chemistry I. 
and 
87% in Physics I-T or 83% in Hon. Physics or 70% in AP Physics or 93% in Academic PES
and 
93% in Algebra II (or 87% in Advanced, 80% in Honors.)
Course Highlights: 
Atomic Structure and Properties
Molecular and Ionic Compound Structure and Properties
Intermolecular Forces and Properties
Chemical Reactions
Kinetics
Thermodynamics
Equilibrium
Acids and Bases
Thermodynamics"
H14044,Science,AP Environmental Science,"Advanced Placement Environmental Science course is an introductory college course. Students should have an interest in the environment, natural sciences, or engineering. Environmental science is interdisciplinary; it embraces a wide variety of topics from different areas of study. Admission to an AP course ordinarily depends on the student's interest in the subject as well as on a superior record. AP Environmental Science, a rigorous science course with several prerequisites, is no exception. This course prepares students to take the Advanced Placement Examination.
Students must complete a summer assignment given by the teacher.
The course's major topics define the scope of both the course and the AP exam. Topics include Ecosystems, Biodiversity, Populations, Earth Systems and Resources, Land and Water Use, Energy Resources and Consumption, Atmospheric Pollution, Aquatic and Terrestrial Pollution, and Global Change. The course includes a laboratory and investigation component. Students are expected to have a strong math background to handle quantitative analysis required in the course. Students' grades are based upon a variety of assessments, including, but not limited to: activities, laboratory work and reports, fieldwork, homework, quizzes and tests.

Summer Assignment
1) Textbook readings with questions. 2) Review assignments of prerequisite math and science skills. 3) Current event assignment. Expectations: Quiz upon returning to school. Approximate Time: 15 hours.
Advanced Placement (AP)Learn all about the course and exam","Credits: 5.0
Grade Levels: 11:12:
Additional GPA Weight: AP/College 1.0","Prerequisites: 80% in Hon. Biology I or 83% in Biology I AND
80% in Honors Chemistry I or 83% in Chemistry I AND
87% in Algebra II or 80% in Advanced Algebra II or 70% in Honors Algebra II
Course Highlights:
The Living World: Ecosystems
The Living World: Biodiversity
Populations
Earth Systems and Resources
Land and Water Use
Energy Resources and Consumption
Atmospheric Pollution
Aquatic and Terrestrial Pollution
Global Change"
